9 5 0 T
9 5 1
9 5 2
9 5 3
9 5 4 T
9 5 5 T
9 5 6
9 5 7
9 5 5 F
9 5 8
9 2 0 T
9 2 1 T
9 2 2
9 2 3
9 2 1 F
9 2 4 T
9 2 5
9 1 0 T
9 1 1
9 1 2
9 1 3 T
9 1 4
9 1 5
9 2 4 F
9 2 6
9 2 7
9 2 8
9 2 9
9 2 10
9 2 11
9 2 12
9 2 13
9 2 14 T
9 2 15
9 2 16
9 2 17
9 2 18
9 2 19
9 2 20
9 2 21
9 2 22
9 2 23
9 2 24
9 2 14 F
9 2 25
9 2 26
9 2 27
9 2 28
9 2 29
9 2 30
9 2 31
9 2 32
9 5 9
9 5 10 T
9 5 11
9 5 12
9 5 10 F
9 5 13
9 5 14
9 5 15
9 5 16
9 5 17
9 5 18
9 5 19
9 5 20
9 5 21
9 5 22
9 5 23 T
9 5 24
9 5 25
9 5 26
9 5 27
9 5 28
9 5 23 F
